Adj	Adjective
PPro-D2P	Personal / Possessive Pronoun - Dative 2nd Person Plural
PPro-D2S	Personal / Possessive Pronoun - Dative 2nd Person Singular
PPro-DF1P	Personal / Possessive Pronoun - Dative Feminine 1st Person Plural
PPro-DF1S	Personal / Possessive Pronoun - Dative Feminine 1st Person Singular
PPro-DF2P	Personal / Possessive Pronoun - Dative Feminine 2nd Person Plural
PPro-DF2S	Personal / Possessive Pronoun - Dative Feminine 2nd Person Singular
PPro-DF3P	Personal / Possessive Pronoun - Dative Feminine 3rd Person Plural
PPro-DF3S	Personal / Possessive Pronoun - Dative Feminine 3rd Person Singular
PPro-DM1P	Personal / Possessive Pronoun - Dative Masculine 1st Person Plural
PPro-DM1S	Personal / Possessive Pronoun - Dative Masculine 1st Person Singular
PPro-DM2P	Personal / Possessive Pronoun - Dative Masculine 2nd Person Plural
PPro-DM2S	Personal / Possessive Pronoun - Dative Masculine 2nd Person Singular
PPro-DM3P	Personal / Possessive Pronoun - Dative Masculine 3rd Person Plural
PPro-DM3S	Personal / Possessive Pronoun - Dative Masculine 3rd Person Singular
PPro-DN1P	Personal / Possessive Pronoun - Dative Neuter 1st Person Plural
PPro-DN1S	Personal / Possessive Pronoun - Dative Neuter 1st Person Singular
PPro-DN3P	Personal / Possessive Pronoun - Dative Neuter 3rd Person Plural
PPro-DN3S	Personal / Possessive Pronoun - Dative Neuter 3rd Person Singular
PPro-G1P	Personal / Possessive Pronoun - Genitive 1st Person Plural
PPro-G1S	Personal / Possessive Pronoun - Genitive 1st Person Singular
PPro-G2P	Personal / Possessive Pronoun - Genitive 2nd Person Plural
PPro-G2S	Personal / Possessive Pronoun - Genitive 2nd Person Singular
PPro-GF1P	Personal / Possessive Pronoun - Genitive Feminine 1st Person Plural
PPro-GF1S	Personal / Possessive Pronoun - Genitive Feminine 1st Person Singular
PPro-GF2P	Personal / Possessive Pronoun - Genitive Feminine 2nd Person Plural
PPro-GF2S	Personal / Possessive Pronoun - Genitive Feminine 2nd Person Singular
PPro-GF3P	Personal / Possessive Pronoun - Genitive Feminine 3rd Person Plural
PPro-GF3S	Personal / Possessive Pronoun - Genitive Feminine 3rd Person Singular
PPro-GM1S	Personal / Possessive Pronoun - Genitive Masculine 1st Person Singular
PPro-GM2S	Personal / Possessive Pronoun - Genitive Masculine 2nd Person Singular
PPro-GM3P	Personal / Possessive Pronoun - Genitive Masculine 3rd Person Plural
PPro-GM3S	Personal / Possessive Pronoun - Genitive Masculine 3rd Person Singular
PPro-GN1P	Personal / Possessive Pronoun - Genitive Neuter 1st Person Plural
PPro-GN3P	Personal / Possessive Pronoun - Genitive Neuter 3rd Person Plural
PPro-GN3S	Personal / Possessive Pronoun - Genitive Neuter 3rd Person Singular
PPro-N1P	Personal / Possessive Pronoun - Nominative 1st Person Plural
PPro-N1S	Personal / Possessive Pronoun - Nominative 1st Person Singular
PPro-N2P	Personal / Possessive Pronoun - Nominative 2nd Person Plural
PPro-N2S	Personal / Possessive Pronoun - Nominative 2nd Person Singular
PPro-NF1P	Personal / Possessive Pronoun - Nominative Feminine 1st Person Plural
PPro-NF1S	Personal / Possessive Pronoun - Nominative Feminine 1st Person Singular
PPro-NF2P	Personal / Possessive Pronoun - Nominative Feminine 2nd Person Plural
PPro-NF3S	Personal / Possessive Pronoun - Nominative Feminine 3rd Person Singular
PPro-NFS	Personal / Possessive Pronoun - Nominative Feminine Singular
PPro-NM1P	Personal / Possessive Pronoun - Nominative Masculine 1st Person Plural
PPro-NM1S	Personal / Possessive Pronoun - Nominative Masculine 1st Person Singular
PPro-NM2P	Personal / Possessive Pronoun - Nominative Masculine 2nd Person Plural
PPro-NM2S	Personal / Possessive Pronoun - Nominative Masculine 2nd Person Singular
PPro-NM3P	Personal / Possessive Pronoun - Nominative Masculine 3rd Person Plural
PPro-NM3S	Personal / Possessive Pronoun - Nominative Masculine 3rd Person Singular
PPro-NN1P	Personal / Possessive Pronoun - Nominative Neuter 1st Person Plural
PPro-NN1S	Personal / Possessive Pronoun - Nominative Neuter 1st Person Singular
PPro-NN2P	Personal / Possessive Pronoun - Nominative Neuter 2nd Person Plural
PPro-NN2S	Personal / Possessive Pronoun - Nominative Neuter 2nd Person Singular
PPro-NN3P	Personal / Possessive Pronoun - Nominative Neuter 3rd Person Plural
PPro-NN3S	Personal / Possessive Pronoun - Nominative Neuter 3rd Person Singular
Prep	Preposition
Prtcl	Particle
RecPro-AMP	Personal / Reciprocal Pronoun - Accusative Masculine Plural
RecPro-DMP	Personal / Reciprocal Pronoun - Dative Masculine Plural
RecPro-DNP	Personal / Reciprocal Pronoun - Dative Neuter Plural
RecPro-GMP	Personal / Reciprocal Pronoun - Genitive Masculine Plural
RefPro-AF3P	Reflexive Pronoun - Accusative Feminine 3rd Person Plural
RefPro-AF3S	Reflexive Pronoun - Accusative Feminine 3rd Person Singular
RefPro-AM3P	Reflexive Pronoun - Accusative Masculine 3rd Person Plural
RefPro-AM3S	Reflexive Pronoun - Accusative Masculine 3rd Person Singular
RefPro-AN3P	Reflexive Pronoun - Accusative Neuter 3rd Person Plural
RefPro-DF3P	Reflexive Pronoun - Dative Feminine 3rd Person Plural
RefPro-DF3S	Reflexive Pronoun - Dative Feminine 3rd Person Singular
RefPro-DM3P	Reflexive Pronoun - Dative Masculine 3rd Person Plural
RefPro-DM3S	Reflexive Pronoun - Dative Masculine 3rd Person Singular
RefPro-GF3P	Reflexive Pronoun - Genitive Feminine 3rd Person Plural
RefPro-GF3S	Reflexive Pronoun - Genitive Feminine 3rd Person Singular
RefPro-GM3P	Reflexive Pronoun - Genitive Masculine 3rd Person Plural
RefPro-GM3S	Reflexive Pronoun - Genitive Masculine 3rd Person Singular
RefPro-GN3P	Reflexive Pronoun - Genitive Neuter 3rd Person Plural
RefPro-GN3S	Reflexive Pronoun - Genitive Neuter 3rd Person Singular
RelPro-AFP	Personal / Relative Pronoun - Accusative Feminine Plural
RelPro-AFS	Personal / Relative Pronoun - Accusative Feminine Singular
RelPro-AMP	Personal / Relative Pronoun - Accusative Masculine Plural
RelPro-AMS	Personal / Relative Pronoun - Accusative Masculine Singular
RelPro-ANP	Personal / Relative Pronoun - Accusative Neuter Plural
RelPro-ANS	Personal / Relative Pronoun - Accusative Neuter Singular
RelPro-DFP	Personal / Relative Pronoun - Dative Feminine Plural
RelPro-DFS	Personal / Relative Pronoun - Dative Feminine Singular
RelPro-DMP	Personal / Relative Pronoun - Dative Masculine Plural
RelPro-DMS	Personal / Relative Pronoun - Dative Masculine Singular
RelPro-DNP	Personal / Relative Pronoun - Dative Neuter Plural
RelPro-DNS	Personal / Relative Pronoun - Dative Neuter Singular
RelPro-GFP	Personal / Relative Pronoun - Genitive Feminine Plural
RelPro-GFS	Personal / Relative Pronoun - Genitive Feminine Singular
RelPro-GMP	Personal / Relative Pronoun - Genitive Masculine Plural
RelPro-GMS	Personal / Relative Pronoun - Genitive Masculine Singular
RelPro-GNP	Personal / Relative Pronoun - Genitive Neuter Plural
RelPro-GNS	Personal / Relative Pronoun - Genitive Neuter Singular
RelPro-NFP	Personal / Relative Pronoun - Nominative Feminine Plural
RelPro-NFS	Personal / Relative Pronoun - Nominative Feminine Singular
RelPro-NMP	Personal / Relative Pronoun - Nominative Masculine Plural
RelPro-NMS	Personal / Relative Pronoun - Nominative Masculine Singular
RelPro-NNP	Personal / Relative Pronoun - Nominative Neuter Plural
RelPro-NNS	Personal / Relative Pronoun - Nominative Neuter Singular
V-AIA-1P	Verb - Aorist Indicative Active - 1st Person Plural
V-AIA-1S	Verb - Aorist Indicative Active - 1st Person Singular
V-AIA-2P	Verb - Aorist Indicative Active - 2nd Person Plural
V-AIA-2S	Verb - Aorist Indicative Active - 2nd Person Singular
V-AIA-3P	Verb - Aorist Indicative Active - 3rd Person Plural
V-AIA-3S	Verb - Aorist Indicative Active - 3rd Person Singular
V-AIM-1P	Verb - Aorist Indicative Middle - 1st Person Plural
V-AIM-1S	Verb - Aorist Indicative Middle - 1st Person Singular
V-AIM-2P	Verb - Aorist Indicative Middle - 2nd Person Plural
V-AIM-2S	Verb - Aorist Indicative Middle - 2nd Person Singular
V-AIM-3P	Verb - Aorist Indicative Middle - 3rd Person Plural
V-AIM-3S	Verb - Aorist Indicative Middle - 3rd Person Singular
V-AIP-1P	Verb - Aorist Indicative Passive - 1st Person Plural
V-AIP-1S	Verb - Aorist Indicative Passive - 1st Person Singular
V-AIP-2P	Verb - Aorist Indicative Passive - 2nd Person Plural
V-AIP-2S	Verb - Aorist Indicative Passive - 2nd Person Singular
V-AIP-3P	Verb - Aorist Indicative Passive - 3rd Person Plural
V-AIP-3S	Verb - Aorist Indicative Passive - 3rd Person Singular
V-AMA-2P	Verb - Aorist Imperative Active - 2nd Person Plural
V-AMA-2S	Verb - Aorist Imperative Active - 2nd Person Singular
